Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumber(bool,string[],string,valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.66,0.00,70.65,0.25,"SmsFeedback_Take4.dll",
"System.Web.UI.Control.EndRenderTracing(class System.IO.TextWriter,object)",60,0.00,0.00,0.01,0.01,"System.Web.dll",
"SmsFeedback_Take4.MvcApplication..ctor()",7,0.00,0.00,0.07,0.07,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.AccountController..ctor()",2,0.00,0.00,0.23,0.23,"SmsFeedback_Take4.dll",
"System.Web.UI.TemplateControl.set_AppRelativeVirtualPath(string)",1,0.00,0.00,0.46,0.46,"System.Web.dll",
"System.DateTime.AddYears(int32)",17,0.00,0.00,0.03,0.03,"mscorlib.dll",
"log4net.ILog.DebugFormat(string,object)",3,0.00,0.00,0.15,0.15,"log4net.dll",
"System.Web.Mvc.GlobalFilters.get_Filters()",1,0.00,0.00,0.43,0.43,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.WorkingPointsController.get_SMSRepository()",2,0.01,0.00,0.66,0.21,"SmsFeedback_Take4.dll",
"System.Web.UI.Control.SetRenderMethodDelegate(class System.Web.UI.RenderMethod)",3,0.00,0.00,0.14,0.14,"System.Web.dll",
"System.IDisposable.Dispose()",1,0.00,0.00,0.41,0.41,"mscorlib.dll",
"log4net.ILog.InfoFormat(string,object)",3,0.00,0.00,0.13,0.13,"log4net.dll",
"SmsFeedback_Take4.Models.Helpers.ReportResource..ctor(string,string,class SmsFeedback_Take4.Models.Helpers.ReportResourceOptions,string)",30,0.00,0.00,0.02,0.01,"SmsFeedback_Take4.dll",
"System.Math.Round(float64,int32)",3,0.00,0.00,0.13,0.13,"mscorlib.dll",
"System.Web.UI.HtmlControls.HtmlHead..ctor(string)",1,0.00,0.00,0.40,0.40,"System.Web.dll",
"ASP.views_account_logon_aspx.__BuildControlTree(class ASP.views_account_logon_aspx)",1,0.05,0.00,10.59,0.39,"App_Web_hucenq10.dll",
"System.String.Format(string,object[])",3,0.00,0.00,0.13,0.13,"mscorlib.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.UrlHelper,string,string,string,string,string,object,string)",2,0.00,0.00,0.36,0.19,"SmsFeedback_Take4.dll",
"System.Web.UI.Control.SetTraceData(object,object)",26,0.00,0.00,0.01,0.01,"System.Web.dll",
"System.Web.Mvc.UrlHelper.IsLocalUrl(string)",1,0.00,0.00,0.38,0.38,"System.Web.Mvc.dll",
"__ASP.FastObjectFactory_app_web_mqahmqy2.Create_ASP_views_shared_site_master()",2,0.00,0.00,0.36,0.19,"App_Web_mqahmqy2.dll",
"SmsFeedback_Take4.Models.Helpers.SubscriptionSmsStatus..ctor(int32,bool,bool,bool,string)",2,0.00,0.00,0.19,0.19,"SmsFeedback_Take4.dll",
"System.Web.UI.LiteralControl..ctor(string)",4,0.00,0.00,0.09,0.09,"System.Web.dll",
"System.Web.HttpServerUtility.set_ScriptTimeout(int32)",1,0.00,0.00,0.38,0.38,"System.Web.dll",
"System.Reflection.MethodBase.GetMethodFromHandle(valuetype System.RuntimeMethodHandle)",6,0.00,0.00,0.06,0.06,"mscorlib.dll",
"log4net.ILog.DebugFormat(string,object,object)",2,0.00,0.00,0.18,0.18,"log4net.dll",
"System.Web.Mvc.MvcHtmlString..ctor(string)",83,0.00,0.00,0.00,0.00,"System.Web.Mvc.dll",
"System.DateTime.ToString(string)",67,0.00,0.00,0.01,0.01,"mscorlib.dll",
"SmsFeedback_Take4.Controllers.WorkingPointsController.WorkingPointsPerUser()",2,3.57,0.00,380.17,0.17,"SmsFeedback_Take4.dll",
"System.Globalization.CultureInfo.CreateSpecificCulture(string)",17,0.00,0.00,0.02,0.02,"mscorlib.dll",
"System.Web.Routing.RouteValueDictionary..ctor(class System.Collections.Generic.IDictionary`2<string,object>)",12,0.00,0.00,0.03,0.03,"System.Web.dll",
"System.Web.Mvc.UrlHelper.Action(string,string)",2,0.00,0.00,0.15,0.15,"System.Web.Mvc.dll",
"ASP.views_account_logon_aspx.FrameworkInitialize()",1,0.06,0.00,12.80,0.30,"App_Web_hucenq10.dll",
"SmsFeedback_Take4.Controllers.TagsController..ctor()",1,0.58,0.00,122.92,0.30,"SmsFeedback_Take4.dll",
