Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"__ASP.FastObjectFactory_app_web_t5it0hly.Create_ASP_views_shared_site_master()",2,0.00,0.00,0.43,0.23,"App_Web_t5it0hly.dll",
"SmsFeedback_Take4.Controllers.ReportsController.PrepareJson(class System.Collections.Generic.List`1<class System.Collections.Generic.Dictionary`2<valuetype System.DateTime,class SmsFeedback_Take4.Models.Helpers.ChartValue>>,string)",2,0.01,0.00,1.08,0.23,"SmsFeedback_Take4.dll",
"System.Linq.Enumerable.Range(int32,int32)",2,0.00,0.00,0.21,0.21,"System.Core.dll",
"SmsFeedback_Take4.Models.Helpers.SubscriptionSmsStatus..ctor(int32,bool,bool,bool,string)",2,0.00,0.00,0.21,0.21,"SmsFeedback_Take4.dll",
"System.DateTime.ToString(string)",73,0.00,0.00,0.01,0.01,"mscorlib.dll",
"System.Object.ToString()",120,0.00,0.00,0.00,0.00,"mscorlib.dll",
"log4net.ILog.DebugFormat(string,object)",3,0.00,0.00,0.14,0.14,"log4net.dll",
"System.Math.Round(float64,int32)",4,0.00,0.00,0.10,0.10,"mscorlib.dll",
"System.Web.UI.Control.SetRenderMethodDelegate(class System.Web.UI.RenderMethod)",6,0.00,0.00,0.07,0.07,"System.Web.dll",
"ASP.views_account_logon_aspx.__BuildControlTree(class ASP.views_account_logon_aspx)",2,0.05,0.00,5.38,0.20,"App_Web_ps1syksy.dll",
"System.Reflection.MethodBase.GetMethodFromHandle(valuetype System.RuntimeMethodHandle)",12,0.00,0.00,0.03,0.03,"mscorlib.dll",
"System.Web.Mvc.UrlHelper.IsLocalUrl(string)",1,0.00,0.00,0.39,0.39,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.TagsController..ctor()",1,0.40,0.00,93.00,0.39,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",5,0.00,0.00,0.08,0.08,"System.Web.Mvc.dll",
"System.Web.UI.HtmlControls.HtmlHead..ctor(string)",2,0.00,0.00,0.19,0.19,"System.Web.dll",
"System.Web.UI.LiteralControl..ctor(string)",4,0.00,0.00,0.10,0.10,"System.Web.dll",
