Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
"System.DateTime.op_GreaterThanOrEqual(valuetype System.DateTime,valuetype System.DateTime)","7,175",0,0,0,0,mscorlib.dll
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string,object,object)",1,0,0,0.8,0.79,System.Web.Mvc.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingSmsInfo(string,string,string,string,string)",1,2.39,0,"1,372.45",0.78,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassfd.<ComputeNoOfIncomingSms>b__f9(class SmsFeedback_EFModels.Message),816,0,0,0,0,SmsFeedback_Take4.dll
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0,0,0.27,0.1,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetPosAndNegTagActivity(string,string,string,string,string)",1,4.41,0,"2,530.80",0.76,SmsFeedback_Take4.dll
ASP.views_reports_index_aspx.FrameworkInitialize(),1,0,0,0.83,0.76,App_Web_jivbjkeg.dll
"SmsFeedback_Take4.Models.AggregateSmsRepository.UpdateConversationsFromExternalSources(string[],valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.16,0,45.95,0.37,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingOutgoingSmsChartSource(string,string,string,string,string)",1,2.31,0,"1,325.27",0.73,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassf7.<ComputeTotalNoOfClients>b__f3(class SmsFeedback_EFModels.Message),"1,578",0,0,0,0,SmsFeedback_Take4.dll
ASP.views_home_index_aspx.FrameworkInitialize(),1,0,0,1.92,0.71,App_Web_4yrxnmfm.dll
System.Web.Mvc.ViewUserControl.get_Html(),2,0,0,0.35,0.35,System.Web.Mvc.dll
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",4,0.03,0,4.5,0.17,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass105.<ComputeNoOfOutgoingSms>b__100(class SmsFeedback_EFModels.Message),816,0,0,0,0,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetPosAndNegTagEvolution(string,string,string,string,string)",1,5.51,0,"3,166.93",0.67,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetPosNegTransitions(string,string,string,string,string)",1,4.88,0,"2,800.92",0.64,SmsFeedback_Take4.dll
"log4net.ILog.InfoFormat(string,object)",3,0,0,0.21,0.21,log4net.dll
System.Web.HttpUtility.HtmlEncode(string),8,0,0,0.08,0.08,System.Web.dll
MoveNext(),627,0,0,0,0,SmsFeedback_Take4.dll
"System.Linq.Expressions.Expression.Call(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression[])",45,0,0,0.01,0.01,System.Core.dll
"System.Web.Mvc.Controller.Json(object,valuetype System.Web.Mvc.JsonRequestBehavior)",41,0,0,0.01,0.01,System.Web.Mvc.dll
